ID de registro,Nombre de la empresa,Dominio del sitio web,Industria del cliente,Ciudad,País,Segmento de cliente,Sub-línea de producto
58452255409,Tapicería Confort Cía. Ltda.,tapiceriaconfort.com,Tapicería,Quito,Ecuador,Alto,Confort
58424538755,Aislamientos Nacional Cía. Ltda.,aislamientosnacional.com,Construcción/Aislamiento,Quito,Ecuador,Bajo,Acústica
58419090837,Autopartes Metalmecánica S.A.,autopartesmetalmecanica.com,Automotriz,Quito,Ecuador,Mediano,Auto
58434590277,Sueño Relax Cía. Ltda.,suenorelax.com,Colchonería,Quito,Ecuador,Mediano,Dormo
58427323314,Aislamientos Técnica S.A.C.,aislamientostecnica.com,Construcción/Aislamiento,Lima,Perú,Bajo,Acústica
58437045108,Colchones Ideal Cía. Ltda.,colchonesideal.com,Colchonería,Cuenca,Ecuador,Mediano,Dormo
58408796575,Construcciones Estructural S.A.S.,construccionesestructural.com,Construcción/Aislamiento,Barranquilla,Colombia,Bajo,Acústica
58424851310,Ingeniería Premium S.A.S.,ingenieriapremium.com,Construcción/Aislamiento,Barranquilla,Colombia,Bajo,Acústica
58414583467,Ingeniería Estructural S.A.,ingenieriaestructural.com,Construcción/Aislamiento,Cuenca,Ecuador,Bajo,Acústica
58414272030,Componentes Industrial S.A.C.,componentesindustrial.com,Automotriz,Lima,Perú,Bajo,Auto
58450907417,Aislamientos Premium Cía. Ltda.,aislamientospremium.com,Construcción/Aislamiento,Quito,Ecuador,Bajo,Acústica
58414756444,Ingeniería Continental S.A.,ingenieriacontinental.com,Construcción/Aislamiento,Cuenca,Ecuador,Bajo,Acústica
58443262891,Mobiliario Clásico Cía. Ltda.,mobiliarioclasico.com,Muebles,Quito,Ecuador,Bajo,Confort
58429475358,Maderas Total S.A.C.,maderastotal.com,Muebles,Lima,Perú,Alto,Confort
